     Eje X     Eje Y     Eje Z
  1.024063  1.766012 -1.025941
 -2.046937  2.043012 -1.083941
 -1.966938 -1.845988 -0.965941
 -1.895937 -1.712988 -0.908941
 -1.737937 -1.925988 -0.857941
 -1.650938  2.033012 -0.581941
 -1.913937  1.962012 -0.319941
  1.823063  1.732012 -0.617941
  0.629062  0.631012 -0.704941
  0.929062  1.102012 -0.719941
  1.293062  1.416012 -0.874941
  1.672063  1.648012 -1.112941
 -1.946937  1.953012 -1.043941
 -1.553938  2.005012 -0.744941
 -1.244938 -1.930988 -0.693941
 -0.157937  0.108012 -0.727941
 -0.146938  0.343012 -0.995941
  0.394062  0.477012 -1.118941
  0.812063  0.760012 -0.763941
  1.355062  1.018012 -0.996941
  1.835063  1.154012 -0.792941
 -2.013937  1.582012 -0.472941
 -1.048938  0.417012 -0.893941
 -1.076938  0.462012 -1.121941
 -0.934937  0.597012 -1.203941
 -0.814937  0.755012 -0.953941
 -0.459938  0.944012 -0.973941
 -0.092937  0.948012 -0.848941
  0.221062  1.168012 -0.443941
  0.315062 -0.897988 -0.517941
  0.474063 -0.510988 -0.305941
  0.660062  0.018012 -0.281941
  0.945063  0.517012 -0.735941
  1.322062  1.474012 -0.812941
  1.446062  1.723012 -0.946941
 -0.018938  0.502012 -0.928941
 -0.060938  0.427012 -0.912941
  0.188063  0.341012 -0.994941
  0.444063  0.166012 -0.850941
  0.662063  0.204012 -0.643941
  0.894063  0.096012 -0.561941
  1.081063  0.196012 -0.477941
  1.373062  0.132012 -0.582941
  1.188063  0.037012 -0.850941
  0.897062 -0.168988 -0.877941
  0.647062 -0.111988 -0.887941
  0.614062 -0.344988 -0.983941
  0.655062 -0.538988 -0.854941
  0.524063 -0.464988 -0.770941
  0.354062  1.022012 -0.593941
  0.721062  1.053012 -0.916941
  0.959063  0.981012 -0.822941
  1.200063  1.069012 -0.863941
  1.503062  1.059012 -0.705941
  1.603063  0.920012 -0.691941
  1.695063  0.950012 -0.791941
 -0.017938  0.417012 -0.752941
  0.043063  0.743012 -0.740941
  0.262062  0.932012 -0.999941
  0.351063  1.162012 -0.973941
  0.591062  1.298012 -1.033941
  0.925062  1.333012 -1.029941
  1.096063  1.694012 -0.737941
  0.665062 -0.189988 -0.717941
  0.521062 -0.313988 -0.507941
  0.403062 -0.301988 -0.625941
  0.193062 -0.245988 -0.691941
  0.076063 -0.298988 -0.869941
  0.175063 -0.173988 -1.003941
  0.165063 -0.091988 -0.800941
  0.743062  0.778012 -0.908941
  0.620062  0.696012 -1.044941
  0.502062  0.759012 -1.024941
  0.538063  0.667012 -1.151941
  0.643062  0.697012 -0.895941
  0.638062  0.905012 -0.779941
  0.852063  0.974012 -0.725941
  0.678062  0.047012 -0.665941
  0.703062  0.166012 -0.812941
  0.709063  0.378012 -0.833941
  0.833063  0.615012 -0.966941
  0.895063  0.813012 -0.909941
  0.952062  0.966012 -0.800941
  1.039063  1.061012 -0.701941
  0.477062  0.333012 -0.555941
  0.417062  0.388012 -0.588941
  0.510063  0.348012 -0.594941
  0.384062  0.600012 -0.545941
  0.392062  0.678012 -0.628941
  0.564062  0.989012 -0.555941
  0.501063  0.089012 -0.623941
  0.784063  0.280012 -0.878941
  0.992063  0.372012 -0.938941
  1.225062  0.609012 -0.872941
  1.628062  0.672012 -0.873941
  1.922063  0.729012 -0.809941
 -1.919937  0.864012 -0.684941
  0.268063  0.964012 -0.644941
 -0.052938  0.830012 -0.560941
 -0.325938  0.879012 -0.562941
